county,office,district,party,candidate,votes
HUERFANO,Governor,,REP,Bill Owens,1602
JACKSON,Governor,,REP,Bill Owens,654
JEFFERSON,Governor,,REP,Bill Owens,122356
KIOWA,Governor,,REP,Bill Owens,721
KIT CARSON,Governor,,REP,Bill Owens,2520
LAKE,Governor,,REP,Bill Owens,1340
LARIMER,Governor,,REP,Bill Owens,60727
LAS ANIMAS,Governor,,REP,Bill Owens,2690
LA PLATA,Governor,,REP,Bill Owens,9022
LINCOLN,Governor,,REP,Bill Owens,1489
LOGAN,Governor,,REP,Bill Owens,4977
MESA,Governor,,REP,Bill Owens,27234
MINERAL,Governor,,REP,Bill Owens,276
MOFFAT,Governor,,REP,Bill Owens,3318
MONTEZUMA,Governor,,REP,Bill Owens,5311
MONTROSE,Governor,,REP,Bill Owens,8644
MORGAN,Governor,,REP,Bill Owens,5657
OTERO,Governor,,REP,Bill Owens,4112
OURAY,Governor,,REP,Bill Owens,1177
PARK,Governor,,REP,Bill Owens,4057
PHILLIPS,Governor,,REP,Bill Owens,1516
PITKIN,Governor,,REP,Bill Owens,3096
PROWERS,Governor,,REP,Bill Owens,2898
PUEBLO,Governor,,REP,Bill Owens,24059
RIO BLANCO,Governor,,REP,Bill Owens,1922
RIO GRANDE,Governor,,REP,Bill Owens,3107
ROUTT,Governor,,REP,Bill Owens,4525
SAGUACHE,Governor,,REP,Bill Owens,1038
SAN JUAN,Governor,,REP,Bill Owens,206
SAN MIGUEL,Governor,,REP,Bill Owens,1085
SEDGWICK,Governor,,REP,Bill Owens,895
SUMMIT,Governor,,REP,Bill Owens,4395
TELLER,Governor,,REP,Bill Owens,5885
WASHINGTON,Governor,,REP,Bill Owens,1800
WELD,Governor,,REP,Bill Owens,39682
YUMA,Governor,,REP,Bill Owens,3090
TOTALS,Governor,,REP,Bill Owens,884583
ADAMS,Governor,,GRN,Ronald Forthofer,941
ALAMOSA,Governor,,GRN,Ronald Forthofer,74
ARAPAHOE,Governor,,GRN,Ronald Forthofer,2049
ARCHULETA,Governor,,GRN,Ronald Forthofer,57
BACA,Governor,,GRN,Ronald Forthofer,13
BENT,Governor,,GRN,Ronald Forthofer,7
BOULDER,Governor,,GRN,Ronald Forthofer,6295
BROOMFIELD,Governor,,GRN,Ronald Forthofer,285
CHAFFEE,Governor,,GRN,Ronald Forthofer,202
CHEYENNE,Governor,,GRN,Ronald Forthofer,3
CLEAR CREEK,Governor,,GRN,Ronald Forthofer,122
CONEJOS,Governor,,GRN,Ronald Forthofer,26
COSTILLA,Governor,,GRN,Ronald Forthofer,33
CROWLEY,Governor,,GRN,Ronald Forthofer,9
CUSTER,Governor,,GRN,Ronald Forthofer,36
DELTA,Governor,,GRN,Ronald Forthofer,337
DENVER,Governor,,GRN,Ronald Forthofer,4297
DOLORES,Governor,,GRN,Ronald Forthofer,28
DOUGLAS,Governor,,GRN,Ronald Forthofer,633
EAGLE,Governor,,GRN,Ronald Forthofer,263
ELBERT,Governor,,GRN,Ronald Forthofer,63
EL PASO,Governor,,GRN,Ronald Forthofer,3346
FREMONT,Governor,,GRN,Ronald Forthofer,177
GARFIELD,Governor,,GRN,Ronald Forthofer,411
GILPIN,Governor,,GRN,Ronald Forthofer,110
GRAND,Governor,,GRN,Ronald Forthofer,97
GUNNISON,Governor,,GRN,Ronald Forthofer,250
HINSDALE,Governor,,GRN,Ronald Forthofer,19
HUERFANO,Governor,,GRN,Ronald Forthofer,51
JACKSON,Governor,,GRN,Ronald Forthofer,8
JEFFERSON,Governor,,GRN,Ronald Forthofer,3494
KIOWA,Governor,,GRN,Ronald Forthofer,3
KIT CARSON,Governor,,GRN,Ronald Forthofer,19
LAKE,Governor,,GRN,Ronald Forthofer,66
LARIMER,Governor,,GRN,Ronald Forthofer,3597
LAS ANIMAS,Governor,,GRN,Ronald Forthofer,52
LA PLATA,Governor,,GRN,Ronald Forthofer,762
LINCOLN,Governor,,GRN,Ronald Forthofer,5
LOGAN,Governor,,GRN,Ronald Forthofer,52
MESA,Governor,,GRN,Ronald Forthofer,493
MINERAL,Governor,,GRN,Ronald Forthofer,9
MOFFAT,Governor,,GRN,Ronald Forthofer,30
MONTEZUMA,Governor,,GRN,Ronald Forthofer,205
MONTROSE,Governor,,GRN,Ronald Forthofer,209
MORGAN,Governor,,GRN,Ronald Forthofer,38
OTERO,Governor,,GRN,Ronald Forthofer,29
OURAY,Governor,,GRN,Ronald Forthofer,59
PARK,Governor,,GRN,Ronald Forthofer,176
PHILLIPS,Governor,,GRN,Ronald Forthofer,6
PITKIN,Governor,,GRN,Ronald Forthofer,243
PROWERS,Governor,,GRN,Ronald Forthofer,13
PUEBLO,Governor,,GRN,Ronald Forthofer,301
RIO BLANCO,Governor,,GRN,Ronald Forthofer,20
RIO GRANDE,Governor,,GRN,Ronald Forthofer,47
ROUTT,Governor,,GRN,Ronald Forthofer,297
SAGUACHE,Governor,,GRN,Ronald Forthofer,71
SAN JUAN,Governor,,GRN,Ronald Forthofer,24
SAN MIGUEL,Governor,,GRN,Ronald Forthofer,171
SEDGWICK,Governor,,GRN,Ronald Forthofer,4
SUMMIT,Governor,,GRN,Ronald Forthofer,422
TELLER,Governor,,GRN,Ronald Forthofer,173
WASHINGTON,Governor,,GRN,Ronald Forthofer,13
WELD,Governor,,GRN,Ronald Forthofer,741
YUMA,Governor,,GRN,Ronald Forthofer,13
TOTALS,Governor,,GRN,Ronald Forthofer,32099
ADAMS,Governor,,LIB,Ralph Shnelvar,1248
ALAMOSA,Governor,,LIB,Ralph Shnelvar,50
ARAPAHOE,Governor,,LIB,Ralph Shnelvar,1723
ARCHULETA,Governor,,LIB,Ralph Shnelvar,45
BACA,Governor,,LIB,Ralph Shnelvar,10
BENT,Governor,,LIB,Ralph Shnelvar,24
BOULDER,Governor,,LIB,Ralph Shnelvar,2348
BROOMFIELD,Governor,,LIB,Ralph Shnelvar,194
CHAFFEE,Governor,,LIB,Ralph Shnelvar,97
CHEYENNE,Governor,,LIB,Ralph Shnelvar,7
CLEAR CREEK,Governor,,LIB,Ralph Shnelvar,109
CONEJOS,Governor,,LIB,Ralph Shnelvar,21
COSTILLA,Governor,,LIB,Ralph Shnelvar,23
CROWLEY,Governor,,LIB,Ralph Shnelvar,18
CUSTER,Governor,,LIB,Ralph Shnelvar,30
DELTA,Governor,,LIB,Ralph Shnelvar,238
DENVER,Governor,,LIB,Ralph Shnelvar,1971
DOLORES,Governor,,LIB,Ralph Shnelvar,12
DOUGLAS,Governor,,LIB,Ralph Shnelvar,662
EAGLE,Governor,,LIB,Ralph Shnelvar,128
ELBERT,Governor,,LIB,Ralph Shnelvar,96
EL PASO,Governor,,LIB,Ralph Shnelvar,2604
FREMONT,Governor,,LIB,Ralph Shnelvar,251
GARFIELD,Governor,,LIB,Ralph Shnelvar,178
GILPIN,Governor,,LIB,Ralph Shnelvar,73
GRAND,Governor,,LIB,Ralph Shnelvar,85
GUNNISON,Governor,,LIB,Ralph Shnelvar,117
HINSDALE,Governor,,LIB,Ralph Shnelvar,22
HUERFANO,Governor,,LIB,Ralph Shnelvar,26
JACKSON,Governor,,LIB,Ralph Shnelvar,17
JEFFERSON,Governor,,LIB,Ralph Shnelvar,2593
KIOWA,Governor,,LIB,Ralph Shnelvar,4
KIT CARSON,Governor,,LIB,Ralph Shnelvar,21
LAKE,Governor,,LIB,Ralph Shnelvar,55
LARIMER,Governor,,LIB,Ralph Shnelvar,1418
LAS ANIMAS,Governor,,LIB,Ralph Shnelvar,56
LA PLATA,Governor,,LIB,Ralph Shnelvar,218
LINCOLN,Governor,,LIB,Ralph Shnelvar,20
LOGAN,Governor,,LIB,Ralph Shnelvar,62
MESA,Governor,,LIB,Ralph Shnelvar,829
MINERAL,Governor,,LIB,Ralph Shnelvar,7
MOFFAT,Governor,,LIB,Ralph Shnelvar,84
MONTEZUMA,Governor,,LIB,Ralph Shnelvar,120
MONTROSE,Governor,,LIB,Ralph Shnelvar,250
MORGAN,Governor,,LIB,Ralph Shnelvar,91
OTERO,Governor,,LIB,Ralph Shnelvar,52
OURAY,Governor,,LIB,Ralph Shnelvar,38
PARK,Governor,,LIB,Ralph Shnelvar,174
PHILLIPS,Governor,,LIB,Ralph Shnelvar,21
PITKIN,Governor,,LIB,Ralph Shnelvar,102
PROWERS,Governor,,LIB,Ralph Shnelvar,32
PUEBLO,Governor,,LIB,Ralph Shnelvar,381
RIO BLANCO,Governor,,LIB,Ralph Shnelvar,30
RIO GRANDE,Governor,,LIB,Ralph Shnelvar,39
ROUTT,Governor,,LIB,Ralph Shnelvar,89
SAGUACHE,Governor,,LIB,Ralph Shnelvar,42
SAN JUAN,Governor,,LIB,Ralph Shnelvar,24
SAN MIGUEL,Governor,,LIB,Ralph Shnelvar,108
SEDGWICK,Governor,,LIB,Ralph Shnelvar,8
SUMMIT,Governor,,LIB,Ralph Shnelvar,106
TELLER,Governor,,LIB,Ralph Shnelvar,166
WASHINGTON,Governor,,LIB,Ralph Shnelvar,18
WELD,Governor,,LIB,Ralph Shnelvar,823
YUMA,Governor,,LIB,Ralph Shnelvar,39
TOTALS,Governor,,LIB,Ralph Shnelvar,20547
ADAMS,Governor,,,,84363
ALAMOSA,Governor,,,,4648
ARAPAHOE,Governor,,,,151574
ARCHULETA,Governor,,,,3981
BACA,Governor,,,,2177
BENT,Governor,,,,1927
BOULDER,Governor,,,,106436
BROOMFIELD,Governor,,,,14200
CHAFFEE,Governor,,,,6880
CHEYENNE,Governor,,,,1065
CLEAR CREEK,Governor,,,,4045
CONEJOS,Governor,,,,3227
COSTILLA,Governor,,,,1598
CROWLEY,Governor,,,,1305
CUSTER,Governor,,,,1974
DELTA,Governor,,,,11238
DENVER,Governor,,,,153065
DOLORES,Governor,,,,856
DOUGLAS,Governor,,,,73996
EAGLE,Governor,,,,11677
ELBERT,Governor,,,,8022
EL PASO,Governor,,,,152893
FREMONT,Governor,,,,13995
GARFIELD,Governor,,,,13883
GILPIN,Governor,,,,2291
GRAND,Governor,,,,5040
GUNNISON,Governor,,,,5429
HINSDALE,Governor,,,,536
HUERFANO,Governor,,,,2810
JACKSON,Governor,,,,844
JEFFERSON,Governor,,,,189099
KIOWA,Governor,,,,916
KIT CARSON,Governor,,,,3080
LAKE,Governor,,,,2404
LARIMER,Governor,,,,93673
LAS ANIMAS,Governor,,,,5161
LA PLATA,Governor,,,,15954
LINCOLN,Governor,,,,1975
LOGAN,Governor,,,,6729
MESA,Governor,,,,40811
MINERAL,Governor,,,,446
MOFFAT,Governor,,,,4523
MONTEZUMA,Governor,,,,7999
MONTROSE,Governor,,,,12320
MORGAN,Governor,,,,7670
OTERO,Governor,,,,6182
OURAY,Governor,,,,1895
PARK,Governor,,,,5912
PHILLIPS,Governor,,,,1919
PITKIN,Governor,,,,6054
PROWERS,Governor,,,,4014
PUEBLO,Governor,,,,49142
RIO BLANCO,Governor,,,,2454
RIO GRANDE,Governor,,,,4542
ROUTT,Governor,,,,7507
SAGUACHE,Governor,,,,2023
SAN JUAN,Governor,,,,408
SAN MIGUEL,Governor,,,,2493
SEDGWICK,Governor,,,,1186
SUMMIT,Governor,,,,8164
TELLER,Governor,,,,7996
WASHINGTON,Governor,,,,2169
WELD,Governor,,,,55916
YUMA,Governor,,,,3891
TOTALS,Governor,,,,1412602
ADAMS,Secretary of State,,REP,Donetta Davidson,41262
ALAMOSA,Secretary of State,,REP,Donetta Davidson,2450
ARAPAHOE,Secretary of State,,REP,Donetta Davidson,96005
ARCHULETA,Secretary of State,,REP,Donetta Davidson,2503
BACA,Secretary of State,,REP,Donetta Davidson,1478
BENT,Secretary of State,,REP,Donetta Davidson,1349
BOULDER,Secretary of State,,REP,Donetta Davidson,44447
BROOMFIELD,Secretary of State,,REP,Donetta Davidson,8074
CHAFFEE,Secretary of State,,REP,Donetta Davidson,3894
CHEYENNE,Secretary of State,,REP,Donetta Davidson,809
CLEAR CREEK,Secretary of State,,REP,Donetta Davidson,2102
CONEJOS,Secretary of State,,REP,Donetta Davidson,1377
COSTILLA,Secretary of State,,REP,Donetta Davidson,406
CROWLEY,Secretary of State,,REP,Donetta Davidson,859
CUSTER,Secretary of State,,REP,Donetta Davidson,1358
DELTA,Secretary of State,,REP,Donetta Davidson,7034
DENVER,Secretary of State,,REP,Donetta Davidson,55051
DOLORES,Secretary of State,,REP,Donetta Davidson,511
DOUGLAS,Secretary of State,,REP,Donetta Davidson,51984
EAGLE,Secretary of State,,REP,Donetta Davidson,6137
ELBERT,Secretary of State,,REP,Donetta Davidson,5695
EL PASO,Secretary of State,,REP,Donetta Davidson,100752
FREMONT,Secretary of State,,REP,Donetta Davidson,8772
GARFIELD,Secretary of State,,REP,Donetta Davidson,7799
GILPIN,Secretary of State,,REP,Donetta Davidson,1081
GRAND,Secretary of State,,REP,Donetta Davidson,3203
GUNNISON,Secretary of State,,REP,Donetta Davidson,2542
HINSDALE,Secretary of State,,REP,Donetta Davidson,325
HUERFANO,Secretary of State,,REP,Donetta Davidson,1214
JACKSON,Secretary of State,,REP,Donetta Davidson,613
JEFFERSON,Secretary of State,,REP,Donetta Davidson,109176
KIOWA,Secretary of State,,REP,Donetta Davidson,668
KIT CARSON,Secretary of State,,REP,Donetta Davidson,2282
LAKE,Secretary of State,,REP,Donetta Davidson,986
LARIMER,Secretary of State,,REP,Donetta Davidson,53268
LAS ANIMAS,Secretary of State,,REP,Donetta Davidson,2182
LA PLATA,Secretary of State,,REP,Donetta Davidson,8490
LINCOLN,Secretary of State,,REP,Donetta Davidson,1394
LOGAN,Secretary of State,,REP,Donetta Davidson,4827
MESA,Secretary of State,,REP,Donetta Davidson,25878
MINERAL,Secretary of State,,REP,Donetta Davidson,227
MOFFAT,Secretary of State,,REP,Donetta Davidson,3147
MONTEZUMA,Secretary of State,,REP,Donetta Davidson,4975
MONTROSE,Secretary of State,,REP,Donetta Davidson,7914
MORGAN,Secretary of State,,REP,Donetta Davidson,5259
OTERO,Secretary of State,,REP,Donetta Davidson,3912
OURAY,Secretary of State,,REP,Donetta Davidson,1068
PARK,Secretary of State,,REP,Donetta Davidson,3488
PHILLIPS,Secretary of State,,REP,Donetta Davidson,1389
PITKIN,Secretary of State,,REP,Donetta Davidson,2442
PROWERS,Secretary of State,,REP,Donetta Davidson,2878
PUEBLO,Secretary of State,,REP,Donetta Davidson,22061
RIO BLANCO,Secretary of State,,REP,Donetta Davidson,1801
RIO GRANDE,Secretary of State,,REP,Donetta Davidson,2782
ROUTT,Secretary of State,,REP,Donetta Davidson,3855
SAGUACHE,Secretary of State,,REP,Donetta Davidson,884
SAN JUAN,Secretary of State,,REP,Donetta Davidson,173
SAN MIGUEL,Secretary of State,,REP,Donetta Davidson,912
SEDGWICK,Secretary of State,,REP,Donetta Davidson,821
SUMMIT,Secretary of State,,REP,Donetta Davidson,3923
TELLER,Secretary of State,,REP,Donetta Davidson,5287
WASHINGTON,Secretary of State,,REP,Donetta Davidson,1684
WELD,Secretary of State,,REP,Donetta Davidson,35025
YUMA,Secretary of State,,REP,Donetta Davidson,2860
TOTALS,Secretary of State,,REP,Donetta Davidson,789004
ADAMS,Secretary of State,,DEM,Anthony Martinez,36664
ALAMOSA,Secretary of State,,DEM,Anthony Martinez,1948
ARAPAHOE,Secretary of State,,DEM,Anthony Martinez,47325
ARCHULETA,Secretary of State,,DEM,Anthony Martinez,1184
BACA,Secretary of State,,DEM,Anthony Martinez,520
BENT,Secretary of State,,DEM,Anthony Martinez,535
BOULDER,Secretary of State,,DEM,Anthony Martinez,51917
BROOMFIELD,Secretary of State,,DEM,Anthony Martinez,5012
CHAFFEE,Secretary of State,,DEM,Anthony Martinez,2453
CHEYENNE,Secretary of State,,DEM,Anthony Martinez,179
CLEAR CREEK,Secretary of State,,DEM,Anthony Martinez,1535
CONEJOS,Secretary of State,,DEM,Anthony Martinez,1770
COSTILLA,Secretary of State,,DEM,Anthony Martinez,1108
CROWLEY,Secretary of State,,DEM,Anthony Martinez,373
CUSTER,Secretary of State,,DEM,Anthony Martinez,463
DELTA,Secretary of State,,DEM,Anthony Martinez,3318
DENVER,Secretary of State,,DEM,Anthony Martinez,79799
DOLORES,Secretary of State,,DEM,Anthony Martinez,261
DOUGLAS,Secretary of State,,DEM,Anthony Martinez,17058
EAGLE,Secretary of State,,DEM,Anthony Martinez,4357
ELBERT,Secretary of State,,DEM,Anthony Martinez,1719
EL PASO,Secretary of State,,DEM,Anthony Martinez,41380
FREMONT,Secretary of State,,DEM,Anthony Martinez,4170
GARFIELD,Secretary of State,,DEM,Anthony Martinez,4835
GILPIN,Secretary of State,,DEM,Anthony Martinez,906
GRAND,Secretary of State,,DEM,Anthony Martinez,1402
GUNNISON,Secretary of State,,DEM,Anthony Martinez,2250
HINSDALE,Secretary of State,,DEM,Anthony Martinez,137
HUERFANO,Secretary of State,,DEM,Anthony Martinez,1413
JACKSON,Secretary of State,,DEM,Anthony Martinez,150
JEFFERSON,Secretary of State,,DEM,Anthony Martinez,66460
KIOWA,Secretary of State,,DEM,Anthony Martinez,166
KIT CARSON,Secretary of State,,DEM,Anthony Martinez,568
LAKE,Secretary of State,,DEM,Anthony Martinez,1125
LARIMER,Secretary of State,,DEM,Anthony Martinez,32474
LAS ANIMAS,Secretary of State,,DEM,Anthony Martinez,2682
LA PLATA,Secretary of State,,DEM,Anthony Martinez,6102
LINCOLN,Secretary of State,,DEM,Anthony Martinez,463
LOGAN,Secretary of State,,DEM,Anthony Martinez,1589
MESA,Secretary of State,,DEM,Anthony Martinez,12396
MINERAL,Secretary of State,,DEM,Anthony Martinez,153
MOFFAT,Secretary of State,,DEM,Anthony Martinez,1015
MONTEZUMA,Secretary of State,,DEM,Anthony Martinez,2412
MONTROSE,Secretary of State,,DEM,Anthony Martinez,3382
MORGAN,Secretary of State,,DEM,Anthony Martinez,1914
OTERO,Secretary of State,,DEM,Anthony Martinez,2066
OURAY,Secretary of State,,DEM,Anthony Martinez,651
PARK,Secretary of State,,DEM,Anthony Martinez,1728
PHILLIPS,Secretary of State,,DEM,Anthony Martinez,369
PITKIN,Secretary of State,,DEM,Anthony Martinez,2935
PROWERS,Secretary of State,,DEM,Anthony Martinez,991
PUEBLO,Secretary of State,,DEM,Anthony Martinez,24541
RIO BLANCO,Secretary of State,,DEM,Anthony Martinez,444
RIO GRANDE,Secretary of State,,DEM,Anthony Martinez,1566
ROUTT,Secretary of State,,DEM,Anthony Martinez,2944
SAGUACHE,Secretary of State,,DEM,Anthony Martinez,996
SAN JUAN,Secretary of State,,DEM,Anthony Martinez,164
SAN MIGUEL,Secretary of State,,DEM,Anthony Martinez,1223
SEDGWICK,Secretary of State,,DEM,Anthony Martinez,270
SUMMIT,Secretary of State,,DEM,Anthony Martinez,3327
TELLER,Secretary of State,,DEM,Anthony Martinez,1983
WASHINGTON,Secretary of State,,DEM,Anthony Martinez,340
WELD,Secretary of State,,DEM,Anthony Martinez,16720
YUMA,Secretary of State,,DEM,Anthony Martinez,785
TOTALS,Secretary of State,,DEM,Anthony Martinez,513085
ADAMS,Secretary of State,,LIB,David Aitken,2924
ALAMOSA,Secretary of State,,LIB,David Aitken,109
ARAPAHOE,Secretary of State,,LIB,David Aitken,3642
ARCHULETA,Secretary of State,,LIB,David Aitken,108
BACA,Secretary of State,,LIB,David Aitken,38
BENT,Secretary of State,,LIB,David Aitken,27
BOULDER,Secretary of State,,LIB,David Aitken,3941
BROOMFIELD,Secretary of State,,LIB,David Aitken,446
CHAFFEE,Secretary of State,,LIB,David Aitken,224
CHEYENNE,Secretary of State,,LIB,David Aitken,18
CLEAR CREEK,Secretary of State,,LIB,David Aitken,207
CONEJOS,Secretary of State,,LIB,David Aitken,25
COSTILLA,Secretary of State,,LIB,David Aitken,38
CROWLEY,Secretary of State,,LIB,David Aitken,22
CUSTER,Secretary of State,,LIB,David Aitken,50
DELTA,Secretary of State,,LIB,David Aitken,443
DENVER,Secretary of State,,LIB,David Aitken,4623
DOLORES,Secretary of State,,LIB,David Aitken,25
DOUGLAS,Secretary of State,,LIB,David Aitken,1638
EAGLE,Secretary of State,,LIB,David Aitken,327
ELBERT,Secretary of State,,LIB,David Aitken,198
EL PASO,Secretary of State,,LIB,David Aitken,5269
FREMONT,Secretary of State,,LIB,David Aitken,449
GARFIELD,Secretary of State,,LIB,David Aitken,517
GILPIN,Secretary of State,,LIB,David Aitken,166
GRAND,Secretary of State,,LIB,David Aitken,192
GUNNISON,Secretary of State,,LIB,David Aitken,253
HINSDALE,Secretary of State,,LIB,David Aitken,36
HUERFANO,Secretary of State,,LIB,David Aitken,72
JACKSON,Secretary of State,,LIB,David Aitken,24
JEFFERSON,Secretary of State,,LIB,David Aitken,5586
KIOWA,Secretary of State,,LIB,David Aitken,12
KIT CARSON,Secretary of State,,LIB,David Aitken,50
LAKE,Secretary of State,,LIB,David Aitken,116
LARIMER,Secretary of State,,LIB,David Aitken,3016
LAS ANIMAS,Secretary of State,,LIB,David Aitken,107
LA PLATA,Secretary of State,,LIB,David Aitken,566
LINCOLN,Secretary of State,,LIB,David Aitken,41
LOGAN,Secretary of State,,LIB,David Aitken,126
MESA,Secretary of State,,LIB,David Aitken,1480
MINERAL,Secretary of State,,LIB,David Aitken,18
MOFFAT,Secretary of State,,LIB,David Aitken,116
MONTEZUMA,Secretary of State,,LIB,David Aitken,247
MONTROSE,Secretary of State,,LIB,David Aitken,431
MORGAN,Secretary of State,,LIB,David Aitken,185
OTERO,Secretary of State,,LIB,David Aitken,65
OURAY,Secretary of State,,LIB,David Aitken,72
PARK,Secretary of State,,LIB,David Aitken,339
PHILLIPS,Secretary of State,,LIB,David Aitken,42
PITKIN,Secretary of State,,LIB,David Aitken,275
PROWERS,Secretary of State,,LIB,David Aitken,58
PUEBLO,Secretary of State,,LIB,David Aitken,985
RIO BLANCO,Secretary of State,,LIB,David Aitken,72
RIO GRANDE,Secretary of State,,LIB,David Aitken,69
ROUTT,Secretary of State,,LIB,David Aitken,264
SAGUACHE,Secretary of State,,LIB,David Aitken,84
SAN JUAN,Secretary of State,,LIB,David Aitken,35
SAN MIGUEL,Secretary of State,,LIB,David Aitken,222
SEDGWICK,Secretary of State,,LIB,David Aitken,20
SUMMIT,Secretary of State,,LIB,David Aitken,371
TELLER,Secretary of State,,LIB,David Aitken,327
WASHINGTON,Secretary of State,,LIB,David Aitken,36
WELD,Secretary of State,,LIB,David Aitken,1602
YUMA,Secretary of State,,LIB,David Aitken,83
TOTALS,Secretary of State,,LIB,David Aitken,43169
ADAMS,Secretary of State,,ACP,Clyde J. Harkins,782
ALAMOSA,Secretary of State,,ACP,Clyde J. Harkins,18
ARAPAHOE,Secretary of State,,ACP,Clyde J. Harkins,1018
ARCHULETA,Secretary of State,,ACP,Clyde J. Harkins,14
BACA,Secretary of State,,ACP,Clyde J. Harkins,27
BENT,Secretary of State,,ACP,Clyde J. Harkins,19
BOULDER,Secretary of State,,ACP,Clyde J. Harkins,624
BROOMFIELD,Secretary of State,,ACP,Clyde J. Harkins,100
CHAFFEE,Secretary of State,,ACP,Clyde J. Harkins,67
CHEYENNE,Secretary of State,,ACP,Clyde J. Harkins,10
CLEAR CREEK,Secretary of State,,ACP,Clyde J. Harkins,50
CONEJOS,Secretary of State,,ACP,Clyde J. Harkins,37
COSTILLA,Secretary of State,,ACP,Clyde J. Harkins,7
CROWLEY,Secretary of State,,ACP,Clyde J. Harkins,19
CUSTER,Secretary of State,,ACP,Clyde J. Harkins,23
DELTA,Secretary of State,,ACP,Clyde J. Harkins,79
DENVER,Secretary of State,,ACP,Clyde J. Harkins,1152
DOLORES,Secretary of State,,ACP,Clyde J. Harkins,10
DOUGLAS,Secretary of State,,ACP,Clyde J. Harkins,243
EAGLE,Secretary of State,,ACP,Clyde J. Harkins,94
ELBERT,Secretary of State,,ACP,Clyde J. Harkins,90
EL PASO,Secretary of State,,ACP,Clyde J. Harkins,988
FREMONT,Secretary of State,,ACP,Clyde J. Harkins,190
GARFIELD,Secretary of State,,ACP,Clyde J. Harkins,175
GILPIN,Secretary of State,,ACP,Clyde J. Harkins,48
GRAND,Secretary of State,,ACP,Clyde J. Harkins,52
GUNNISON,Secretary of State,,ACP,Clyde J. Harkins,58
HINSDALE,Secretary of State,,ACP,Clyde J. Harkins,5
HUERFANO,Secretary of State,,ACP,Clyde J. Harkins,24
JACKSON,Secretary of State,,ACP,Clyde J. Harkins,8
JEFFERSON,Secretary of State,,ACP,Clyde J. Harkins,1638
KIOWA,Secretary of State,,ACP,Clyde J. Harkins,10
KIT CARSON,Secretary of State,,ACP,Clyde J. Harkins,46
LAKE,Secretary of State,,ACP,Clyde J. Harkins,42
LARIMER,Secretary of State,,ACP,Clyde J. Harkins,934
LAS ANIMAS,Secretary of State,,ACP,Clyde J. Harkins,46
LA PLATA,Secretary of State,,ACP,Clyde J. Harkins,74
LINCOLN,Secretary of State,,ACP,Clyde J. Harkins,15
LOGAN,Secretary of State,,ACP,Clyde J. Harkins,61
MESA,Secretary of State,,ACP,Clyde J. Harkins,368
MINERAL,Secretary of State,,ACP,Clyde J. Harkins,4
MOFFAT,Secretary of State,,ACP,Clyde J. Harkins,90
MONTEZUMA,Secretary of State,,ACP,Clyde J. Harkins,37
MONTROSE,Secretary of State,,ACP,Clyde J. Harkins,144
MORGAN,Secretary of State,,ACP,Clyde J. Harkins,89
OTERO,Secretary of State,,ACP,Clyde J. Harkins,41
OURAY,Secretary of State,,ACP,Clyde J. Harkins,15
PARK,Secretary of State,,ACP,Clyde J. Harkins,93
PHILLIPS,Secretary of State,,ACP,Clyde J. Harkins,16
PITKIN,Secretary of State,,ACP,Clyde J. Harkins,36
PROWERS,Secretary of State,,ACP,Clyde J. Harkins,34
PUEBLO,Secretary of State,,ACP,Clyde J. Harkins,379
RIO BLANCO,Secretary of State,,ACP,Clyde J. Harkins,17
RIO GRANDE,Secretary of State,,ACP,Clyde J. Harkins,59
ROUTT,Secretary of State,,ACP,Clyde J. Harkins,77
SAGUACHE,Secretary of State,,ACP,Clyde J. Harkins,11
SAN JUAN,Secretary of State,,ACP,Clyde J. Harkins,6
SAN MIGUEL,Secretary of State,,ACP,Clyde J. Harkins,15
SEDGWICK,Secretary of State,,ACP,Clyde J. Harkins,7
SUMMIT,Secretary of State,,ACP,Clyde J. Harkins,79
TELLER,Secretary of State,,ACP,Clyde J. Harkins,48
WASHINGTON,Secretary of State,,ACP,Clyde J. Harkins,24
WELD,Secretary of State,,ACP,Clyde J. Harkins,704
YUMA,Secretary of State,,ACP,Clyde J. Harkins,13
TOTALS,Secretary of State,,ACP,Clyde J. Harkins,11303
ADAMS,Secretary of State,,,,81632
ALAMOSA,Secretary of State,,,,4525
ARAPAHOE,Secretary of State,,,,147990
ARCHULETA,Secretary of State,,,,3809
BACA,Secretary of State,,,,2063
BENT,Secretary of State,,,,1930
BOULDER,Secretary of State,,,,100929
BROOMFIELD,Secretary of State,,,,13632
CHAFFEE,Secretary of State,,,,6638
CHEYENNE,Secretary of State,,,,1016
CLEAR CREEK,Secretary of State,,,,3894
CONEJOS,Secretary of State,,,,3209
COSTILLA,Secretary of State,,,,1559
CROWLEY,Secretary of State,,,,1273
CUSTER,Secretary of State,,,,1894
DELTA,Secretary of State,,,,10874
DENVER,Secretary of State,,,,140625
DOLORES,Secretary of State,,,,807
DOUGLAS,Secretary of State,,,,70923
EAGLE,Secretary of State,,,,10915
ELBERT,Secretary of State,,,,7702
EL PASO,Secretary of State,,,,148389
FREMONT,Secretary of State,,,,13581
GARFIELD,Secretary of State,,,,13326
GILPIN,Secretary of State,,,,2201
GRAND,Secretary of State,,,,4849
GUNNISON,Secretary of State,,,,5103
HINSDALE,Secretary of State,,,,503
HUERFANO,Secretary of State,,,,2723
JACKSON,Secretary of State,,,,795
JEFFERSON,Secretary of State,,,,182860
